readout_gene,readout_class,replicate,assay,target_gene,day,shrna,bias,num_reads,cell_density,extra_umi
Pea15a,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,1,4,DIFFUSE DEAD,
Pea15a,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,0.772727273,22,DIFFUSE LIVE?,
Pea15a,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,0.825242718,103,SPREAD OUT SLIGHTLY DIFFUSE,
Phka2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,1,1,DIFFUSE DEAD,
Phka2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,1,3,DIFFUSE LIVE?,
Phka2,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,1,5,SPREAD OUT SLIGHTLY DIFFUSE,
Pola1,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,1,1,DIFFUSE DEAD,
Pola1,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,1,3,DIFFUSE LIVE?,
Pola1,Xlinked,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,1,18,SPREAD OUT SLIGHTLY DIFFUSE,
Sash1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,1,4,DIFFUSE DEAD,
Sash1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,1,22,DIFFUSE LIVE?,
Sash1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,1,57,SPREAD OUT SLIGHTLY DIFFUSE,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,0,1,DIFFUSE DEAD,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,NA,0,DIFFUSE LIVE?,
Smtnl2,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,0,4,SPREAD OUT SLIGHTLY DIFFUSE,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,20uM,NA,0,DIFFUSE DEAD,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,10uM,NA,0,DIFFUSE LIVE?,
Spire1,MAE,2,no-UMI,5-Aza-2-deoxycytidine,14,1uM,0.846153846,13,SPREAD OUT SLIGHTLY DIFFUSE,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,20uM,0.6,10,DIFFUSE DEAD,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,21,10uM,0.857142857,14,DIFFUSE DEAD,
